ano,mes,dia,Acidentes
2021,7,2,198
2021,7,3,235
2021,7,4,213
2021,7,5,185
2021,7,6,185
2021,7,7,172
2021,7,8,174
2021,7,9,200
2021,7,10,228
2021,7,11,257
2021,7,12,188
2021,7,13,138
2021,7,14,152
2021,7,15,159
2021,7,16,206
2021,7,17,211
2021,7,18,199
2021,7,19,157
2021,7,20,151
2021,7,21,157
2021,7,22,138
2021,7,23,169
2021,7,24,209
2021,7,25,215
2021,7,26,166
2021,7,27,130
2021,7,28,161
2021,7,29,162
2021,7,30,221
2021,7,31,210
2021,8,1,212
2021,8,2,150
2021,8,3,142
2021,8,4,156
2021,8,5,158
2021,8,6,198
2021,8,7,247
2021,8,8,278
2021,8,9,181
2021,8,10,177
2021,8,11,170
2021,8,12,155
2021,8,13,184
2021,8,14,199
2021,8,15,195
2021,8,16,158
2021,8,17,126
2021,8,18,144
2021,8,19,158
2021,8,20,196
2021,8,21,213
2021,8,22,205
2021,8,23,167
2021,8,24,144
2021,8,25,151
2021,8,26,148
2021,8,27,160
2021,8,28,220
2021,8,29,208
2021,8,30,182
2021,8,31,148
2021,9,1,145
2021,9,2,161
2021,9,3,218
2021,9,4,257
2021,9,5,249
2021,9,6,191
2021,9,7,192
2021,9,8,170
2021,9,9,168
2021,9,10,165
2021,9,11,197
2021,9,12,227
2021,9,13,152
2021,9,14,154
2021,9,15,156
2021,9,16,164
2021,9,17,189
2021,9,18,215
2021,9,19,199
2021,9,20,165
2021,9,21,131
2021,9,22,138
2021,9,23,134
2021,9,24,185
2021,9,25,194
2021,9,26,243
2021,9,27,159
2021,9,28,124
2021,9,29,147
2021,9,30,163
2021,10,1,228
2021,10,2,201
2021,10,3,228
2021,10,4,155
2021,10,5,141
2021,10,6,138
2021,10,7,160
2021,10,8,189
2021,10,9,280
2021,10,10,223
2021,10,11,205
2021,10,12,166
2021,10,13,155
2021,10,14,149
2021,10,15,193
2021,10,16,194
2021,10,17,189
2021,10,18,173
2021,10,19,153
2021,10,20,151
2021,10,21,146
2021,10,22,187
2021,10,23,211
2021,10,24,219
2021,10,25,156
2021,10,26,145
2021,10,27,164
2021,10,28,162
2021,10,29,191
2021,10,30,231
2021,10,31,213
2021,11,1,162
2021,11,2,143
2021,11,3,160
2021,11,4,127
2021,11,5,156
2021,11,6,183
2021,11,7,198
2021,11,8,174
2021,11,9,141
2021,11,10,149
2021,11,11,166
2021,11,12,205
2021,11,13,225
2021,11,14,185
2021,11,15,181
2021,11,16,168
2021,11,17,128
2021,11,18,148
2021,11,19,163
2021,11,20,204
2021,11,21,188
2021,11,22,146
2021,11,23,142
2021,11,24,151
2021,11,25,136
2021,11,26,183
2021,11,27,204
2021,11,28,210
2021,11,29,155
2021,11,30,146
2021,12,1,137
2021,12,2,163
2021,12,3,214
2021,12,4,229
2021,12,5,240
2021,12,6,187
2021,12,7,154
2021,12,8,159
2021,12,9,148
2021,12,10,193
2021,12,11,210
2021,12,12,221
2021,12,13,170
2021,12,14,169
2021,12,15,162
2021,12,16,194
2021,12,17,225
2021,12,18,256
2021,12,19,232
2021,12,20,175
2021,12,21,144
2021,12,22,190
2021,12,23,211
2021,12,24,194
2021,12,25,152
2021,12,26,186
2021,12,27,166
2021,12,28,136
2021,12,29,149
2021,12,30,197
2021,12,31,194
2022,1,1,163
2022,1,2,208
2022,1,3,193
2022,1,4,138
2022,1,5,149
2022,1,6,157
2022,1,7,156
2022,1,8,194
2022,1,9,185
2022,1,10,150
2022,1,11,106
2022,1,12,123
2022,1,13,147
2022,1,14,173
2022,1,15,196
2022,1,16,201
2022,1,17,171
2022,1,18,146
2022,1,19,136
2022,1,20,146
2022,1,21,158
2022,1,22,205
2022,1,23,192
2022,1,24,128
2022,1,25,131
2022,1,26,129
2022,1,27,137
2022,1,28,184
2022,1,29,160
2022,1,30,168
2022,1,31,141
2022,2,1,121
2022,2,2,132
2022,2,3,127
2022,2,4,182
2022,2,5,209
2022,2,6,209
2022,2,7,188
2022,2,8,146
2022,2,9,143
2022,2,10,131
2022,2,11,184
2022,2,12,239
2022,2,13,217
2022,2,14,151
2022,2,15,135
2022,2,16,139
2022,2,17,141
2022,2,18,165
2022,2,19,199
2022,2,20,206
2022,2,21,169
2022,2,22,133
2022,2,23,144
2022,2,24,149
2022,2,25,213
2022,2,26,240
2022,2,27,222
2022,2,28,152
2022,3,1,158
2022,3,2,151
2022,3,3,193
2022,3,4,154
2022,3,5,199
2022,3,6,192
2022,3,7,148
2022,3,8,154
2022,3,9,160
2022,3,10,138
2022,3,11,190
2022,3,12,209
2022,3,13,214
2022,3,14,182
2022,3,15,145
2022,3,16,128
2022,3,17,125
2022,3,18,177
2022,3,19,207
2022,3,20,184
2022,3,21,154
2022,3,22,118
2022,3,23,131
2022,3,24,154
2022,3,25,170
2022,3,26,200
2022,3,27,184
2022,3,28,164
2022,3,29,113
2022,3,30,133
2022,3,31,149
2022,4,1,183
2022,4,2,209
2022,4,3,201
2022,4,4,149
2022,4,5,146
2022,4,6,159
2022,4,7,175
2022,4,8,207
2022,4,9,212
2022,4,10,200
2022,4,11,170
2022,4,12,155
2022,4,13,187
2022,4,14,196
2022,4,15,134
2022,4,16,148
2022,4,17,244
2022,4,18,187
2022,4,19,154
2022,4,20,149
2022,4,21,149
2022,4,22,168
2022,4,23,201
2022,4,24,205
2022,4,25,174
2022,4,26,126
2022,4,27,139
2022,4,28,135
2022,4,29,189
2022,4,30,188
2022,5,1,203
2022,5,2,179
2022,5,3,155
2022,5,4,139
2022,5,5,149
2022,5,6,175
2022,5,7,205
2022,5,8,206
2022,5,9,178
2022,5,10,150
2022,5,11,155
2022,5,12,158
2022,5,13,179
2022,5,14,207
2022,5,15,205
2022,5,16,172
2022,5,17,126
2022,5,18,127
2022,5,19,137
2022,5,20,184
2022,5,21,195
2022,5,22,191
2022,5,23,167
2022,5,24,154
2022,5,25,177
2022,5,26,151
2022,5,27,186
2022,5,28,195
2022,5,29,207
2022,5,30,166
2022,5,31,137
2022,6,1,152
2022,6,2,159
2022,6,3,172
2022,6,4,198
2022,6,5,193
2022,6,6,163
2022,6,7,154
2022,6,8,145
2022,6,9,152
2022,6,10,176
2022,6,11,168
2022,6,12,202
2022,6,13,159
2022,6,14,153
2022,6,15,185
2022,6,16,164
2022,6,17,140
2022,6,18,203
2022,6,19,199
2022,6,20,181
2022,6,21,152
2022,6,22,161
2022,6,23,168
2022,6,24,195
2022,6,25,158
2022,6,26,193
2022,6,27,156
2022,6,28,129
2022,6,29,144
2022,6,30,142
2022,7,1,189
2022,7,2,208
2022,7,3,204
2022,7,4,159
2022,7,5,151
2022,7,6,160
2022,7,7,152
2022,7,8,209
2022,7,9,219
2022,7,10,198
2022,7,11,167
2022,7,12,144
2022,7,13,144
2022,7,14,159
2022,7,15,157
2022,7,16,200
2022,7,17,221
2022,7,18,140
2022,7,19,136
2022,7,20,167
2022,7,21,162
2022,7,22,231
2022,7,23,194
2022,7,24,254
2022,7,25,173
2022,7,26,143
2022,7,27,161
2022,7,28,142
2022,7,29,200
2022,7,30,199
2022,7,31,221
2022,8,1,162
2022,8,2,141
2022,8,3,172
2022,8,4,178
2022,8,5,194
2022,8,6,223
2022,8,7,201
2022,8,8,180
2022,8,9,152
2022,8,10,159
2022,8,11,165
2022,8,12,200
2022,8,13,219
2022,8,14,229
2022,8,15,176
2022,8,16,164
2022,8,17,154
2022,8,18,155
2022,8,19,191
2022,8,20,181
2022,8,21,191
2022,8,22,156
2022,8,23,155
2022,8,24,143
2022,8,25,155
2022,8,26,211
2022,8,27,194
2022,8,28,212
2022,8,29,179
2022,8,30,151
2022,8,31,156
2022,9,1,139
2022,9,2,198
2022,9,3,218
2022,9,4,225
2022,9,5,168
2022,9,6,177
2022,9,7,156
2022,9,8,164
2022,9,9,177
2022,9,10,227
2022,9,11,206
2022,9,12,161
2022,9,13,148
2022,9,14,157
2022,9,15,160
2022,9,16,221
2022,9,17,233
2022,9,18,236
2022,9,19,148
2022,9,20,154
2022,9,21,159
2022,9,22,181
2022,9,23,177
2022,9,24,203
2022,9,25,220
2022,9,26,187
2022,9,27,169
2022,9,28,146
2022,9,29,149
2022,9,30,177
2022,10,1,199
2022,10,2,198
2022,10,3,167
2022,10,4,136
2022,10,5,147
2022,10,6,170
2022,10,7,227
2022,10,8,219
2022,10,9,220
2022,10,10,167
2022,10,11,160
2022,10,12,158
2022,10,13,142
2022,10,14,189
2022,10,15,199
2022,10,16,235
2022,10,17,148
2022,10,18,127
2022,10,19,158
2022,10,20,175
2022,10,21,216
2022,10,22,204
2022,10,23,243
2022,10,24,180
2022,10,25,155
2022,10,26,144
2022,10,27,147
2022,10,28,191
2022,10,29,235
2022,10,30,249
2022,10,31,182
2022,11,1,115
2022,11,2,115
2022,11,3,149
2022,11,4,200
2022,11,5,179
2022,11,6,173
2022,11,7,163
2022,11,8,148
2022,11,9,159
2022,11,10,140
2022,11,11,215
2022,11,12,224
2022,11,13,235
2022,11,14,191
2022,11,15,204
2022,11,16,171
2022,11,17,149
2022,11,18,216
2022,11,19,181
2022,11,20,156
2022,11,21,146
2022,11,22,138
2022,11,23,132
2022,11,24,149
2022,11,25,182
2022,11,26,215
2022,11,27,212
2022,11,28,185
2022,11,29,176
2022,11,30,146
2022,12,1,135
2022,12,2,233
2022,12,3,233
2022,12,4,179
2022,12,5,172
2022,12,6,159
2022,12,7,168
2022,12,8,167
2022,12,9,192
2022,12,10,206
2022,12,11,211
2022,12,12,167
2022,12,13,150
2022,12,14,141
2022,12,15,170
2022,12,16,189
2022,12,17,258
2022,12,18,216
2022,12,19,162
2022,12,20,185
2022,12,21,191
2022,12,22,190
2022,12,23,254
2022,12,24,194
2022,12,25,198
2022,12,26,193
2022,12,27,173
2022,12,28,146
2022,12,29,168
2022,12,30,177
2022,12,31,166
