ano,mes,dia,Acidentes
2009,9,18,548
2009,9,19,428
2009,9,20,456
2009,9,21,495
2009,9,22,397
2009,9,23,406
2009,9,24,376
2009,9,25,478
2009,9,26,404
2009,9,27,421
2009,9,28,420
2009,9,29,373
2009,9,30,400
2009,10,1,371
2009,10,2,490
2009,10,3,461
2009,10,4,424
2009,10,5,350
2009,10,6,391
2009,10,7,416
2009,10,8,552
2009,10,9,624
2009,10,10,633
2009,10,11,451
2009,10,12,619
2009,10,13,404
2009,10,14,381
2009,10,15,447
2009,10,16,564
2009,10,17,540
2009,10,18,379
2009,10,19,437
2009,10,20,378
2009,10,21,366
2009,10,22,468
2009,10,23,482
2009,10,24,451
2009,10,25,393
2009,10,26,426
2009,10,27,440
2009,10,28,414
2009,10,29,449
2009,10,30,533
2009,10,31,597
2009,11,1,391
2009,11,2,441
2009,11,3,492
2009,11,4,368
2009,11,5,391
2009,11,6,484
2009,11,7,548
2009,11,8,441
2009,11,9,429
2009,11,10,408
2009,11,11,376
2009,11,12,386
2009,11,13,507
2009,11,14,469
2009,11,15,459
2009,11,16,458
2009,11,17,360
2009,11,18,404
2009,11,19,421
2009,11,20,505
2009,11,21,514
2009,11,22,478
2009,11,23,419
2009,11,24,347
2009,11,25,452
2009,11,26,387
2009,11,27,588
2009,11,28,574
2009,11,29,512
2009,11,30,499
2009,12,1,442
2009,12,2,433
2009,12,3,464
2009,12,4,699
2009,12,5,659
2009,12,6,545
2009,12,7,490
2009,12,8,459
2009,12,9,475
2009,12,10,456
2009,12,11,566
2009,12,12,592
2009,12,13,545
2009,12,14,431
2009,12,15,407
2009,12,16,441
2009,12,17,562
2009,12,18,701
2009,12,19,703
2009,12,20,622
2009,12,21,551
2009,12,22,546
2009,12,23,725
2009,12,24,848
2009,12,25,443
2009,12,26,484
2009,12,27,623
2009,12,28,543
2009,12,29,489
2009,12,30,650
2009,12,31,676
2010,1,1,300
2010,1,2,419
2010,1,3,673
2010,1,4,534
2010,1,5,412
2010,1,6,434
2010,1,7,407
2010,1,8,507
2010,1,9,478
2010,1,10,473
2010,1,11,458
2010,1,12,392
2010,1,13,406
2010,1,14,445
2010,1,15,550
2010,1,16,513
2010,1,17,486
2010,1,18,449
2010,1,19,385
2010,1,20,468
2010,1,21,487
2010,1,22,539
2010,1,23,444
2010,1,24,498
2010,1,25,483
2010,1,26,395
2010,1,27,400
2010,1,28,406
2010,1,29,478
2010,1,30,511
2010,1,31,458
2010,2,1,423
2010,2,2,353
2010,2,3,404
2010,2,4,450
2010,2,5,520
2010,2,6,512
2010,2,7,522
2010,2,8,509
2010,2,9,518
2010,2,10,448
2010,2,11,537
2010,2,12,756
2010,2,13,751
2010,2,14,418
2010,2,15,356
2010,2,16,442
2010,2,17,630
2010,2,18,498
2010,2,19,418
2010,2,20,368
2010,2,21,387
2010,2,22,489
2010,2,23,398
2010,2,24,431
2010,2,25,526
2010,2,26,533
2010,2,27,457
2010,2,28,514
2010,3,1,570
2010,3,2,459
2010,3,3,489
2010,3,4,477
2010,3,5,539
2010,3,6,524
2010,3,7,480
2010,3,8,461
2010,3,9,386
2010,3,10,445
2010,3,11,409
2010,3,12,492
2010,3,13,466
2010,3,14,540
2010,3,15,475
2010,3,16,464
2010,3,17,400
2010,3,18,400
2010,3,19,512
2010,3,20,544
2010,3,21,499
2010,3,22,417
2010,3,23,434
2010,3,24,440
2010,3,25,445
2010,3,26,543
2010,3,27,551
2010,3,28,458
2010,3,29,472
2010,3,30,452
2010,3,31,526
2010,4,1,749
2010,4,2,463
2010,4,3,396
2010,4,4,863
2010,4,5,567
2010,4,6,401
2010,4,7,364
2010,4,8,435
2010,4,9,487
2010,4,10,532
2010,4,11,476
2010,4,12,417
2010,4,13,345
2010,4,14,401
2010,4,15,414
2010,4,16,545
2010,4,17,490
2010,4,18,441
2010,4,19,425
2010,4,20,460
2010,4,21,423
2010,4,22,456
2010,4,23,518
2010,4,24,509
2010,4,25,432
2010,4,26,473
2010,4,27,384
2010,4,28,412
2010,4,29,397
2010,4,30,619
2010,5,1,554
2010,5,2,526
2010,5,3,487
2010,5,4,441
2010,5,5,438
2010,5,6,432
2010,5,7,644
2010,5,8,687
2010,5,9,742
2010,5,10,599
2010,5,11,460
2010,5,12,478
2010,5,13,472
2010,5,14,507
2010,5,15,465
2010,5,16,473
2010,5,17,479
2010,5,18,425
2010,5,19,437
2010,5,20,440
2010,5,21,552
2010,5,22,584
2010,5,23,480
2010,5,24,417
2010,5,25,435
2010,5,26,451
2010,5,27,469
2010,5,28,551
2010,5,29,498
2010,5,30,446
2010,5,31,502
2010,6,1,432
2010,6,2,601
2010,6,3,514
2010,6,4,553
2010,6,5,550
2010,6,6,565
2010,6,7,456
2010,6,8,435
2010,6,9,454
2010,6,10,478
2010,6,11,575
2010,6,12,518
2010,6,13,479
2010,6,14,413
2010,6,15,437
2010,6,16,457
2010,6,17,447
2010,6,18,547
2010,6,19,465
2010,6,20,421
2010,6,21,502
2010,6,22,458
2010,6,23,505
2010,6,24,467
2010,6,25,517
2010,6,26,430
2010,6,27,418
2010,6,28,487
2010,6,29,401
2010,6,30,401
2010,7,1,461
2010,7,2,507
2010,7,3,455
2010,7,4,432
2010,7,5,430
2010,7,6,393
2010,7,7,462
2010,7,8,439
2010,7,9,597
2010,7,10,557
2010,7,11,475
2010,7,12,535
2010,7,13,466
2010,7,14,514
2010,7,15,531
2010,7,16,740
2010,7,17,587
2010,7,18,557
2010,7,19,484
2010,7,20,421
2010,7,21,461
2010,7,22,497
2010,7,23,606
2010,7,24,546
2010,7,25,520
2010,7,26,454
2010,7,27,406
2010,7,28,416
2010,7,29,487
2010,7,30,574
2010,7,31,529
2010,8,1,611
2010,8,2,470
2010,8,3,392
2010,8,4,499
2010,8,5,435
2010,8,6,564
2010,8,7,547
2010,8,8,535
2010,8,9,520
2010,8,10,466
2010,8,11,432
2010,8,12,398
2010,8,13,551
2010,8,14,513
2010,8,15,535
2010,8,16,486
2010,8,17,399
2010,8,18,444
2010,8,19,441
2010,8,20,543
2010,8,21,520
2010,8,22,479
2010,8,23,437
2010,8,24,411
2010,8,25,403
2010,8,26,463
2010,8,27,537
2010,8,28,489
2010,8,29,480
2010,8,30,409
2010,8,31,449
2010,9,1,464
2010,9,2,458
2010,9,3,630
2010,9,4,749
2010,9,5,493
2010,9,6,466
2010,9,7,579
2010,9,8,685
2010,9,9,481
2010,9,10,523
2010,9,11,541
2010,9,12,459
2010,9,13,470
2010,9,14,429
2010,9,15,440
2010,9,16,476
2010,9,17,566
2010,9,18,591
2010,9,19,517
2010,9,20,546
2010,9,21,526
2010,9,22,405
2010,9,23,439
2010,9,24,610
2010,9,25,563
2010,9,26,544
2010,9,27,591
2010,9,28,556
2010,9,29,408
2010,9,30,457
2010,10,1,654
2010,10,2,596
2010,10,3,441
2010,10,4,461
2010,10,5,411
2010,10,6,464
2010,10,7,565
2010,10,8,663
2010,10,9,673
2010,10,10,514
2010,10,11,461
2010,10,12,520
2010,10,13,512
2010,10,14,449
2010,10,15,532
2010,10,16,496
2010,10,17,477
2010,10,18,552
2010,10,19,391
2010,10,20,444
2010,10,21,426
2010,10,22,514
2010,10,23,598
2010,10,24,486
2010,10,25,463
2010,10,26,492
2010,10,27,446
2010,10,28,429
2010,10,29,606
2010,10,30,671
2010,10,31,505
2010,11,1,471
2010,11,2,491
2010,11,3,466
2010,11,4,426
2010,11,5,602
2010,11,6,604
2010,11,7,455
2010,11,8,459
2010,11,9,446
2010,11,10,556
2010,11,11,495
2010,11,12,709
2010,11,13,810
2010,11,14,516
2010,11,15,623
2010,11,16,633
2010,11,17,467
2010,11,18,405
2010,11,19,508
2010,11,20,499
2010,11,21,493
2010,11,22,524
2010,11,23,457
2010,11,24,520
2010,11,25,512
2010,11,26,646
2010,11,27,522
2010,11,28,462
2010,11,29,452
2010,11,30,467
2010,12,1,497
2010,12,2,540
2010,12,3,586
2010,12,4,606
2010,12,5,557
2010,12,6,559
2010,12,7,482
2010,12,8,499
2010,12,9,548
2010,12,10,599
2010,12,11,656
2010,12,12,624
2010,12,13,692
2010,12,14,512
2010,12,15,645
2010,12,16,622
2010,12,17,716
2010,12,18,684
2010,12,19,680
2010,12,20,551
2010,12,21,571
2010,12,22,657
2010,12,23,992
2010,12,24,860
2010,12,25,438
2010,12,26,667
2010,12,27,550
2010,12,28,534
2010,12,29,494
2010,12,30,636
2010,12,31,675
2011,1,1,481
2011,1,2,775
2011,1,3,696
2011,1,4,549
2011,1,5,472
2011,1,6,485
2011,1,7,530
2011,1,8,539
2011,1,9,527
2011,1,10,601
2011,1,11,476
2011,1,12,483
2011,1,13,525
2011,1,14,630
2011,1,15,626
2011,1,16,564
2011,1,17,547
2011,1,18,510
2011,1,19,450
2011,1,20,491
2011,1,21,583
2011,1,22,553
2011,1,23,534
2011,1,24,467
2011,1,25,461
